No.,Hari,Periode Waktu,Inter-Arrival Time (detik),Service Time (detik),Arrival Time,Service Start Time,Queueing Time (detik),Service End Time
42,Senin,08.00-10.00,137.0,23.0,9:52:41.5,9:52:41.5,2:17.0,9:53:04.5
43,Senin,08.00-10.00,156.0,17.5,9:55:40.5,9:55:40.5,2:36.0,9:55:58.0
44,Senin,08.00-10.00,144.0,22.0,9:58:04.0,9:58:04.0,2:24.0,9:58:26.0
45,Senin,08.00-10.00,130.0,18.0,10:00:16.0,10:00:16.0,2:12.0,10:00:34.0
46,Senin,08.00-10.00,148.0,23.0,10:02:44.0,10:02:44.0,2:28.0,10:03:07.0
47,Senin,08.00-10.00,141.0,17.5,10:05:08.0,10:05:08.0,2:01.0,10:05:25.5
48,Senin,08.00-10.00,155.0,22.0,10:07:03.0,10:07:03.0,1:37.5,10:07:25.0
49,Senin,08.00-10.00,142.0,18.0,10:09:27.0,10:09:27.0,2:02.0,10:09:45.0
50,Senin,08.00-10.00,130.0,23.0,10:11:35.0,10:11:35.0,2:08.0,10:11:58.0
51,Selasa,08.00-10.00,135.0,19.5,8:02:15.0,8:02:15.0,0.00,8:02:34.5
52,Selasa,08.00-10.00,142.0,17.0,8:04:37.0,8:04:37.0,2:02.5,8:04:54.0
53,Selasa,08.00-10.00,155.0,20.5,8:07:29.0,8:07:29.0,2:35.0,8:07:49.5
54,Selasa,08.00-10.00,148.0,18.5,8:10:17.5,8:10:17.5,2:28.0,8:10:36.0
55,Selasa,08.00-10.00,140.0,22.5,8:12:56.0,8:12:56.0,2:20.0,8:13:18.5
56,Selasa,08.00-10.00,150.0,17.0,8:15:48.5,8:15:48.5,2:32.5,8:16:05.5
57,Selasa,08.00-10.00,132.0,21.0,8:18:20.5,8:18:20.5,2:15.0,8:18:41.5
58,Selasa,08.00-10.00,158.0,19.5,8:21:19.5,8:21:19.5,2:38.0,8:21:39.0
59,Selasa,08.00-10.00,145.0,23.0,8:24:04.0,8:24:04.0,2:25.0,8:24:27.0
60,Selasa,08.00-10.00,137.0,17.5,8:26:41.0,8:26:41.0,2:14.0,8:26:58.5
61,Selasa,08.00-10.00,156.0,22.0,8:29:34.5,8:29:34.5,2:36.0,8:29:56.5
62,Selasa,08.00-10.00,140.0,18.0,8:31:56.5,8:31:56.5,2:02.0,8:32:14.5
63,Selasa,08.00-10.00,152.0,23.5,8:34:46.5,8:34:46.5,2:32.0,8:35:10.0
64,Selasa,08.00-10.00,144.0,17.0,8:37:34.0,8:37:34.0,2:24.0,8:37:51.0
65,Selasa,08.00-10.00,130.0,22.0,8:40:01.0,8:40:01.0,2:10.0,8:40:23.0
66,Selasa,08.00-10.00,148.0,18.5,8:42:51.0,8:42:51.0,2:28.0,8:43:09.5
67,Selasa,08.00-10.00,141.0,23.0,8:45:30.5,8:45:30.5,2:21.0,8:45:53.5
68,Selasa,08.00-10.00,155.0,17.5,8:48:28.5,8:48:28.5,2:35.0,8:48:46.0
69,Selasa,08.00-10.00,142.0,22.0,8:51:08.0,8:51:08.0,2:22.0,8:51:30.0
70,Selasa,08.00-10.00,130.0,18.0,8:53:40.0,8:53:40.0,2:10.0,8:53:58.0
71,Selasa,08.00-10.00,158.0,23.0,8:56:36.0,8:56:36.0,2:38.0,8:56:59.0
72,Selasa,08.00-10.00,145.0,17.5,8:59:04.0,8:59:04.0,2:05.0,8:59:21.5
73,Selasa,08.00-10.00,137.0,22.0,9:01:38.5,9:01:38.5,2:17.0,9:02:00.5
74,Selasa,08.00-10.00,156.0,18.0,9:04:36.5,9:04:36.5,2:36.0,9:04:54.5
75,Selasa,08.00-10.00,140.0,23.5,9:06:54.5,9:06:54.5,2:00.0,9:07:18.0
76,Selasa,08.00-10.00,152.0,17.0,9:09:50.0,9:09:50.0,2:32.0,9:10:07.0
77,Selasa,08.00-10.00,144.0,22.0,9:12:28.0,9:12:28.0,2:21.0,9:12:50.0
78,Selasa,08.00-10.00,130.0,18.0,9:15:00.0,9:15:00.0,2:10.0,9:15:18.0
79,Selasa,08.00-10.00,148.0,23.0,9:17:46.0,9:17:46.0,2:28.0,9:18:09.0
80,Selasa,08.00-10.00,141.0,17.5,9:20:10.0,9:20:10.0,2:24.0,9:20:27.5
81,Selasa,08.00-10.00,155.0,22.0,9:23:02.5,9:23:02.5,2:35.0,9:23:24.5
82,Selasa,08.00-10.00,142.0,18.0,9:25:46.5,9:25:46.5,2:22.0,9:26:04.5
83,Selasa,08.00-10.00,130.0,23.0,9:28:14.5,9:28:14.5,2:10.0,9:28:37.5
84,Selasa,08.00-10.00,158.0,17.5,9:31:15.5,9:31:15.5,2:38.0,9:31:33.0
85,Selasa,08.00-10.00,145.0,22.0,9:33:58.0,9:33:58.0,2:25.0,9:34:20.0
86,Selasa,08.00-10.00,137.0,18.0,9:36:37.0,9:36:37.0,2:17.0,9:36:55.0
87,Selasa,08.00-10.00,156.0,23.0,9:39:31.0,9:39:31.0,2:36.0,9:39:54.0
88,Selasa,08.00-10.00,140.0,17.5,9:42:14.0,9:42:14.0,2:20.0,9:42:31.5
89,Selasa,08.00-10.00,152.0,22.0,9:45:03.5,9:45:03.5,2:32.0,9:45:25.5
90,Selasa,08.00-10.00,144.0,18.0,9:47:49.5,9:47:49.5,2:24.0,9:48:07.5
91,Selasa,08.00-10.00,130.0,23.0,9:50:17.5,9:50:17.5,2:10.0,9:50:40.5
92,Selasa,08.00-10.00,148.0,17.5,9:53:08.5,9:53:08.5,2:28.0,9:53:26.0
93,Selasa,08.00-10.00,141.0,22.0,9:55:29.0,9:55:29.0,2:20.5,9:55:51.0
94,Selasa,08.00-10.00,155.0,18.0,9:58:26.0,9:58:26.0,2:35.0,9:58:44.0
95,Selasa,08.00-10.00,142.0,23.0,10:00:26.0,10:00:26.0,2:00.0,10:00:49.0
96,Selasa,08.00-10.00,130.0,17.5,10:02:56.0,10:02:56.0,2:10.0,10:03:13.5
97,Selasa,08.00-10.00,158.0,22.0,10:05:54.0,10:05:54.0,2:38.0,10:06:16.0
98,Selasa,08.00-10.00,145.0,18.0,10:08:21.0,10:08:21.0,2:05.0,10:08:39.0
99,Selasa,08.00-10.00,137.0,23.0,10:10:36.0,10:10:39.0,2:18.0,10:11:02.0
100,Selasa,08.00-10.00,156.0,17.5,10:13:38.0,10:13:38.0,3:02.0,10:13:55.5
101,Rabu,08.00-10.00,141.0,19.0,8:02:21.0,8:02:21.0,0.00,8:02:40.0
102,Rabu,08.00-10.00,155.0,17.5,8:05:16.0,8:05:16.0,2:36.0,8:05:33.5
103,Rabu,08.00-10.00,138.0,21.0,8:07:51.5,8:07:51.5,2:18.0,8:08:12.5
104,Rabu,08.00-10.00,150.0,19.0,8:10:42.5,8:10:42.5,2:30.0,8:11:01.5
105,Rabu,08.00-10.00,145.0,22.0,8:13:26.5,8:13:26.5,2:25.0,8:13:48.5
106,Rabu,08.00-10.00,130.0,17.5,8:15:58.5,8:15:58.5,2:10.0,8:16:16.0
107,Rabu,08.00-10.00,158.0,23.0,8:18:54.0,8:18:54.0,2:38.0,8:19:17.0
108,Rabu,08.00-10.00,148.0,18.0,8:21:45.0,8:21:45.0,2:28.0,8:22:03.0
109,Rabu,08.00-10.00,135.0,22.5,8:24:18.0,8:24:18.0,2:15.0,8:24:40.5
110,Rabu,08.00-10.00,152.0,17.0,8:27:12.5,8:27:12.5,2:32.0,8:27:29.5
111,Rabu,08.00-10.00,143.0,21.5,8:29:52.5,8:29:52.5,2:23.0,8:30:14.0
112,Rabu,08.00-10.00,137.0,19.5,8:32:21.0,8:32:21.0,2:17.0,8:32:40.5
113,Rabu,08.00-10.00,156.0,23.0,8:35:16.5,8:35:16.5,2:36.0,8:35:39.5
114,Rabu,08.00-10.00,140.0,17.5,8:37:59.5,8:37:59.5,2:20.0,8:38:17.0
115,Rabu,08.00-10.00,144.0,22.0,8:40:41.0,8:40:41.0,2:24.0,8:41:03.0
116,Rabu,08.00-10.00,130.0,18.0,8:43:13.0,8:43:13.0,2:10.0,8:43:31.0
117,Rabu,08.00-10.00,148.0,23.0,8:46:01.0,8:46:01.0,2:30.0,8:46:24.0
118,Rabu,08.00-10.00,141.0,17.5,8:48:45.0,8:48:45.0,2:21.0,8:49:02.5
119,Rabu,08.00-10.00,155.0,22.0,8:51:37.5,8:51:37.5,2:35.0,8:52:00.5
120,Rabu,08.00-10.00,142.0,18.0,8:54:22.5,8:54:22.5,2:22.0,8:54:40.5
121,Rabu,08.00-10.00,130.0,23.0,8:56:50.5,8:56:50.5,2:10.0,8:57:13.5
122,Rabu,08.00-10.00,158.0,17.5,9:00:11.5,9:00:11.5,3:21.0,9:00:29.0
123,Rabu,08.00-10.00,148.0,22.0,9:02:59.0,9:02:59.0,2:28.0,9:03:21.0
124,Rabu,08.00-10.00,135.0,18.0,9:05:36.0,9:05:36.0,2:15.0,9:05:54.0
125,Rabu,08.00-10.00,152.0,23.0,9:08:26.0,9:08:26.0,2:32.0,9:08:49.0
126,Rabu,08.00-10.00,143.0,17.5,9:11:12.0,9:11:12.0,2:23.0,9:11:29.5
127,Rabu,08.00-10.00,137.0,22.0,9:13:46.5,9:13:46.5,2:17.0,9:14:08.5
128,Rabu,08.00-10.00,156.0,18.0,9:16:44.5,9:16:44.5,2:36.0,9:17:02.5
129,Rabu,08.00-10.00,140.0,23.0,9:19:22.5,9:19:22.5,2:20.0,9:19:45.5
130,Rabu,08.00-10.00,144.0,17.5,9:22:09.5,9:22:09.5,2:24.0,9:22:27.0
131,Rabu,08.00-10.00,130.0,22.0,9:24:37.0,9:24:37.0,2:10.0,9:24:59.0
132,Rabu,08.00-10.00,148.0,18.0,9:27:27.0,9:27:27.0,2:30.0,9:27:45.0
133,Rabu,08.00-10.00,141.0,23.0,9:30:06.0,9:30:06.0,2:21.0,9:30:29.0
134,Rabu,08.00-10.00,155.0,17.5,9:33:04.0,9:33:04.0,2:35.0,9:33:21.5
135,Rabu,08.00-10.00,142.0,22.0,9:35:43.5,9:35:43.5,2:22.0,9:36:05.5
136,Rabu,08.00-10.00,130.0,18.0,9:38:15.5,9:38:15.5,2:10.0,9:38:33.5
137,Rabu,08.00-10.00,158.0,23.0,9:41:11.5,9:41:11.5,2:38.0,9:41:34.5
138,Rabu,08.00-10.00,148.0,17.5,9:44:02.5,9:44:02.5,2:28.0,9:44:20.0
139,Rabu,08.00-10.00,135.0,22.0,9:46:35.0,9:46:35.0,2:15.0,9:46:57.0
140,Rabu,08.00-10.00,152.0,18.0,9:49:29.0,9:49:29.0,2:32.0,9:49:47.0
141,Rabu,08.00-10.00,143.0,23.0,9:52:10.0,9:52:10.0,2:23.0,9:52:33.0
142,Rabu,08.00-10.00,137.0,17.5,9:54:40.0,9:54:40.0,2:17.0,9:54:57.5
143,Rabu,08.00-10.00,156.0,22.0,9:57:33.5,9:57:33.5,2:36.0,9:57:55.5
144,Rabu,08.00-10.00,140.0,18.0,9:59:55.5,9:59:55.5,2:20.0,10:00:13.5
145,Rabu,08.00-10.00,144.0,23.0,10:02:19.5,10:02:19.5,2:24.0,10:02:42.5
146,Rabu,08.00-10.00,130.0,17.5,10:04:52.5,10:04:52.5,2:10.0,10:05:10.0
147,Rabu,08.00-10.00,148.0,22.0,10:07:40.5,10:07:40.5,2:28.0,10:08:02.5
148,Rabu,08.00-10.00,141.0,18.0,10:10:23.5,10:10:23.5,2:21.0,10:10:41.5
149,Rabu,08.00-10.00,155.0,23.0,10:13:16.5,10:13:16.5,2:35.0,10:13:39.5
150,Rabu,08.00-10.00,142.0,17.5,10:15:58.5,10:15:58.5,2:42.0,10:16:16.0
